YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2014,10,143850,11900,craigslist
2008,16,203218,6900,craigslist
2017,7,91988,17995,craigslist
2022,2,18000,21500,craigslist
2007,17,141000,6700,craigslist
2024,0,0,27950,toyota
2016,8,111887,14900,craigslist
2011,13,110000,8800,craigslist
2009,15,150000,5000,craigslist
2008,16,132289,7500,craigslist
2013,11,205000,5200,craigslist
2010,14,130533,8499,craigslist
2019,5,65639,20999,autotrader
2016,8,34118,22955,autotrader
2015,9,30003,19590,autotrader
2010,14,119328,8999,autotrader
2013,11,117513,14995,autotrader