YEAR,Start_Year,Home_Value,Source
2019,0,730000,redfin
2020,1,685000,redfin
2021,2,795000,redfin
2022,3,825000,redfin
2023,4,820500,redfin
2023,5,818750,redfin
2008,0,636030,fred
2009,1,609120,fred
2010,2,573020,fred
2011,3,568570,fred
2012,4,558010,fred
2013,5,556600,fred
2014,6,560120,fred
2015,7,582640,fred
2016,8,596170,fred
2017,9,620900,fred
2018,10,656300,fred
2019,11,680860,fred
2020,12,716070,fred
2021,13,767530,fred
2022,14,876090,fred
2016,0,578927,zillow
2017,1,627794,zillow
2018,2,675665,zillow
2019,3,705008,zillow
2020,4,793991,zillow
2021,5,795463,zillow
2022,6,788893,zillow
2023,7,748031,zillow
2024,8,740351,zillow