Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
8.24.24,Saturday,2.39,candy,Food,Debit,Want
8.24.24,Saturday,15.93,meal,Food,Debit,Need
8.24.24,Saturday,11.62,misc. from target,Housing,Debit,Want
8.24.24,Saturday,12.09,cat stuff,Entertainment and Recreation,Debit,Want
8.25.24,Sunday,6.75,coffee,Food,Debit,Want
8.25.24,Sunday,2.19,snack,Food,Debit,Want
8.25.24,Sunday,2.75,clothes,Entertainment and Recreation,Debit,Want
8.25.24,Sunday,4.56,school stuff,Entertainment and Recreation,Debit,Need
8.26.24,Monday,1.10,bus,Travel,Cash,Need
8.27.24,Tuesday,2.20,bus,Travel,Cash,Want
8.27.24,Tuesday,11.24,jeans,Entertainment and Recreation,Debit,Need
8.27.24,Tuesday,10.41,food,Food,Debit,Want
8.27.24,Tuesday,7.25,boba,Food,Cash,Want
8.28.24,Wednesday,14.47,mcdonalds,Food,Debit,Want
8.29.24,Thursday,14.18,chipotle,Food,Debit,Want
8.29.24,Thursday,28.56,cat food,Food,Debit,Need
8.30.24,Friday,2.20,bus,Travel,Cash,Need
9.3.24,Tuesday,48.88,shirt,Entertainment and Recreation,Debit,Want
9.3.24,Tuesday,22.23,food,Food,Debit,Need